# HKSCS-2016 official input overlay (authoritative, generated).
# Every HKSCS Han record, with only official Quick code and toneless
# Jyutping readings. Blank route fields mean no official input mapping.
# Fields: chinese, code_point, quick_code, jyutping.
chinese,code_point,quick_code,jyutping
𧞅,U+27785,lq,daat
𧟌,U+277CC,lg,lo
𧡘,U+27858,gu,kai;can
𧡰,U+27870,au,tai
𧢝,U+2789D,mu,lai
𧢲,U+278B2,no,gok
𧣈,U+278C8,nq,caau
𧤤,U+27924,ns,kwai
𧥧,U+27967,nr,jiu
𧥺,U+2797A,ym,gwan;kwan
𧦠,U+279A0,yu,aak;ngaak
𧧝,U+279DD,yh,ngaa;aa
𧧽,U+279FD,yj,fung
𧨊,U+27A0A,ys,zaa
𧨎,U+27A0E,yu,jyun
𧨾,U+27A3E,yd,tam
𧩓,U+27A53,yp,fat
𧩙,U+27A59,ym,daan
𧩹,U+27A79,yd,si
𧪄,U+27A84,yr,gei
𧪽,U+27ABD,ya,zeon
𧪾,U+27ABE,yf,syun
𧫴,U+27AF4,ym,gan
𧬆,U+27B06,yr,zin
𧬋,U+27B0B,ye,faat
𧬘,U+27B18,ya,gaan
𧬸,U+27B38,yr,tang
𧬹,U+27B39,yt,lai
𧬺,U+27B3A,yb,dai
𧭈,U+27B48,yn,ning;ling
𧭥,U+27B65,yd,lok
𧯯,U+27BEF,mc,kei
𧯴,U+27BF4,dt,lam
𧰒,U+27C12,gm,gwok;gok
𧱬,U+27C6C,mn,jyu
𧲱,U+27CB1,bk,joeng
𧳅,U+27CC5,bk,sai;si
𧴯,U+27D2F,bd,me
𧵓,U+27D53,br,ziu
𧵔,U+27D54,mc,bui
𧵦,U+27D66,bu,fong
𧵳,U+27D73,br,sit
𧶄,U+27D84,bd,zaang
𧶏,U+27D8F,mc,fau
𧶘,U+27D98,kc,loi
𧶽,U+27DBD,bh,ci
𧷜,U+27DDC,bm,jung
𧹍,U+27E4D,fc,zaan
𧹏,U+27E4F,bc,zaan
𧼮,U+27F2E,gh,tong
𧿹,U+27FF9,ri,mou
𨀂,U+28002,mo,cuk
𨀉,U+28009,rn,cyu
𨀞,U+2801E,rq,leot
𨀣,U+28023,rm,kei
𨀤,U+28024,rd,leoi
𨁈,U+28048,rk,gaang
𨂃,U+28083,rb,pang
𨂐,U+28090,ro,leoi
𨂽,U+280BD,re,dam
𨂾,U+280BE,rj,naam;laam
𨃨,U+280E8,so,nin;lin;zin
𨃩,U+280E9,rm,sin
𨃴,U+280F4,rb,gwat
𨄮,U+2812E,rj,seot
𨅏,U+2814F,ri,laam
𨅝,U+2815D,rh,jaang
𨅯,U+2816F,rj,waa
𨆉,U+28189,rw,tek
𨆯,U+281AF,ro,buk
𨆼,U+281BC,ri,cyu
𨈇,U+28207,ru,laam
𨈘,U+28218,hh,saau
𨈚,U+2821A,hp,pei
𨉖,U+28256,ah,ni;li
𨉼,U+2827C,hp,wu
𨊛,U+2829B,hm,laak
𨋍,U+282CD,ju,wan
𨋢,U+282E2,jt,lip
𨌆,U+28306,ji,wang
𨌘,U+28318,je,zeon
𨌯,U+2832F,jb,juk
𨌺,U+2833A,jm,hon
𨍥,U+28365,jv,jyun
𨍭,U+2836D,ji,bok
𨍽,U+2837D,jv,gwan
𨎊,U+2838A,jv,gwan
𨐒,U+28412,jj,ci
𨑨,U+28468,ya,zat
𨑬,U+2846C,yt,zai;lai;lit
𨑳,U+28473,yg,ting
𨒂,U+28482,ym,jin
𨔁,U+28501,yn,jau
𨔼,U+2853C,yd,jau
𨔽,U+2853D,yr,ke
𨕬,U+2856C,yu,ngok;ok
𨗨,U+285E8,yq,wai
𨗴,U+285F4,yg,cim
𨘀,U+28600,yc,juk
𨘋,U+2860B,yd,jiu
𨘥,U+28625,yr,zou
𨘻,U+2863B,yv,jyun
𨚪,U+286AA,yl,lap
𨚫,U+286AB,gl,koek
𨚲,U+286B2,kl,cyun
𨚼,U+286BC,rb,juk
𨛘,U+286D8,hl,sing
𨛦,U+286E6,su,gwan
𨜏,U+2870F,nl,jing
𨜓,U+28713,yl,zing
𨠄,U+28804,mu,jau
𨠫,U+2882B,tu,jau
𨤍,U+2890D,mm,ling
𨤳,U+28933,dg,lei
𨥈,U+28948,cu,gei
𨥉,U+28949,cu,saan
𨥖,U+28956,ce,jam
𨥤,U+28964,cn,syu
𨥨,U+28968,ch,maau
𨥬,U+2896C,vc,nou;lou
𨥭,U+2896D,ce,pik
𨥾,U+2897E,cj,ping
𨦉,U+28989,cb,ci
𨦨,U+289A8,cb,pui
𨦪,U+289AA,cl,joeng
𨦫,U+289AB,cm,jyu
𨦸,U+289B8,cu,zan
𨦼,U+289BC,cr,jin
𨧀,U+289C0,cg,dou
𨧜,U+289DC,cl,bong
𨧞,U+289DE,cl,jing
𨧡,U+289E1,cr,gwan
𨧣,U+289E3,cn,hok
𨧤,U+289E4,cn,hang
𨧧,U+289E7,co,zoek
𨧨,U+289E8,cb,jeoi
𨧹,U+289F9,cb,ming
𨧺,U+289FA,cl,bing
𨧻,U+289FB,ci,jin
𨧼,U+289FC,ch,fan
𨨏,U+28A0F,ce,bo
𨨖,U+28A16,mc,kam
𨨥,U+28A25,cd,sam
𨨩,U+28A29,cp,zung
𨨲,U+28A32,ci,ci
𨨶,U+28A36,cl,jyu
𨩄,U+28A44,ct,juk
𨩅,U+28A45,cc,hung
𨩆,U+28A46,cv,wai
𨩇,U+28A47,cj,naam;laam
𨩈,U+28A48,cb,bui
𨩉,U+28A49,ck,wun
𨩊,U+28A4A,cw,jau
𨩋,U+28A4B,cb,wai
𨩙,U+28A59,ct,jing
𨩚,U+28A5A,cd,bou
𨪁,U+28A81,cv,jiu
𨪂,U+28A82,co,seoi
𨪃,U+28A83,cn,ting
𨪚,U+28A9A,cj,hin
𨪛,U+28A9B,cf,jyun
𨪜,U+28A9C,cp,jan
𨫀,U+28AC0,cv,zin
𨫆,U+28AC6,cg,ting
𨫋,U+28ACB,cc,gung
𨫌,U+28ACC,ca,zeon
𨫎,U+28ACE,ci,zan
𨫞,U+28ADE,cp,ci
𨫟,U+28ADF,cd,loeng
𨫠,U+28AE0,cg,zoek
𨫡,U+28AE1,cq,gin
𨫢,U+28AE2,cb,soeng
𨫣,U+28AE3,mc,kau
𨫥,U+28AE5,vc,coeng
𨫪,U+28AEA,co,hon
𨫼,U+28AFC,ck,ngou;ou
𨬌,U+28B0C,cp,kwan
𨬓,U+28B13,cv,jyut
𨬡,U+28B21,cd,keoi
𨬢,U+28B22,co,sin
𨬫,U+28B2B,cn,hoi
𨬬,U+28B2C,cw,fu
𨬭,U+28B2D,cu,zok
𨬯,U+28B2F,cq,sai
𨭆,U+28B46,cf,hak
𨭌,U+28B4C,ch,paang;baang
𨭎,U+28B4E,cr,hei
𨭐,U+28B50,cj,daan
𨭣,U+28B63,co,co
𨭤,U+28B64,cq,ou;ngou
𨭥,U+28B65,cd,jip
𨭦,U+28B66,cc,jyun
𨭬,U+28B6C,cb,maan
𨮏,U+28B8F,cd,caan
𨮙,U+28B99,co,hou
𨮜,U+28B9C,ec,zim
𨮝,U+28B9D,tc,deoi
𨮹,U+28BB9,cb,dik
𨯂,U+28BC2,cv,zan
𨯅,U+28BC5,cb,lai
𨯔,U+28BD4,wc,leoi
𨯗,U+28BD7,cg,jing
𨯙,U+28BD9,ce,hing
𨯚,U+28BDA,cp,wai
𨯧,U+28BE7,cf,jin
𨯨,U+28BE8,cf,hei
𨯩,U+28BE9,ca,zaam
𨯪,U+28BEA,cm,hon
𨯫,U+28BEB,cs,ngok;ok
𨯬,U+28BEC,cv,jyun
𨯵,U+28BF5,cc,hing
𨯿,U+28BFF,cc,gaam
𨰃,U+28C03,cv,jing
𨰉,U+28C09,cl,zaap
𨰜,U+28C1C,ci,zoek
𨰝,U+28C1D,ca,gaan
𨰣,U+28C23,cp,lai
𨰦,U+28C26,cc,bou
𨰫,U+28C2B,ck,jim
𨰰,U+28C30,cc,bou
𨰹,U+28C39,cc,gaam
𨰻,U+28C3B,cc,bou
𨳊,U+28CCA,an,gau
𨳍,U+28CCD,ap,cat
𨳒,U+28CD2,af,diu
𨴴,U+28D34,ac,bing
𨶙,U+28D99,ap,nan;lan
𨶹,U+28DB9,af,si;zing
𨸏,U+28E0F,hr,fau
𨸶,U+28E36,nj,ping
𨸹,U+28E39,nm,pei
𨹥,U+28E65,nh,dai
𨹦,U+28E66,nd,ngoi;oi
𨺗,U+28E97,no,dau
𨺬,U+28EAC,nl,gaai
𨺲,U+28EB2,nb,jyu
𨺳,U+28EB3,ns,jung
𨻙,U+28ED9,nu,fong
𨻧,U+28EE7,nw,lau
𨿅,U+28FC5,ng,lok
𩁹,U+29079,md,jyu
𩂈,U+29088,mp,cam
𩂋,U+2908B,ml,gan
𩂓,U+29093,my,dung
𩂯,U+290AF,md,jau
𩂰,U+290B0,mr,dou
𩂱,U+290B1,mv,ji
𩃀,U+290C0,mm,jin
𩃤,U+290E4,mr,kei
𩃥,U+290E5,mb,pui
𩃬,U+290EC,mn,jam
𩃭,U+290ED,mi,cung
𩄍,U+2910D,mf,cau
𩄐,U+29110,mq,gong
𩄼,U+2913C,my,fei
𩅍,U+2914D,me,maan
𩅛,U+2915B,mj,fung
𩅞,U+2915E,mg,zung
𩅰,U+29170,ml,si
𩆜,U+2919C,mi,ling
𩆨,U+291A8,mj,fung
𩇕,U+291D5,qh,zing
𩇫,U+291EB,ld,fei
𩐝,U+2941D,yr,wan
𩐠,U+29420,yc,hung
𩐳,U+29433,yc,wan
𩐿,U+2943F,yf,hoeng
𩑈,U+29448,yc,gwong;gong
𩓐,U+294D0,jc,but
𩓙,U+294D9,pc,wing
𩓚,U+294DA,bc,kwai
𩓥,U+294E5,oc,ngok;ok
𩓧,U+294E7,jc,ji
𩖞,U+2959E,hu,laam
𩖰,U+295B0,hk,cam
𩖸,U+295B8,hs,hou
𩗗,U+295D7,hc,geoi
𩗩,U+295E9,ci,lau
𩗴,U+295F4,hq,bung
𩜠,U+29720,or,mam;ngam;am
𩜲,U+29732,oe,fuk
𩟔,U+297D4,of,caat
𩠐,U+29810,vu,sau
𩡗,U+29857,hk,cau
𩢤,U+298A4,si,juk
𩣑,U+298D1,sv,on;ngon
𩣪,U+298EA,sm,hang
𩣱,U+298F1,sg,luk
𩣺,U+298FA,st,ban
𩤃,U+29903,sm,aa;ngaa
𩤅,U+29905,sr,geoi
𩤯,U+2992F,tf,jing
𩥅,U+29945,sx,tou
𩥇,U+29947,sv,zin
𩥈,U+29948,st,wan
𩥉,U+29949,st,gei
𩥝,U+2995D,sp,zi
𩥪,U+2996A,sj,fung
𩦝,U+2999D,st,sing
𩧃,U+299C3,sb,lai
𩧉,U+299C9,sc,gwong;gong
𩨨,U+29A28,bp,zi
𩩍,U+29A4D,bs,peng
𩬅,U+29B05,sy,jim
𩬎,U+29B0E,sg,jam
𩯕,U+29BD5,su,so
𩱳,U+29C73,nb,zaai
𩲭,U+29CAD,hj,jung
𩴾,U+29D3E,hi,mit
𩵚,U+29D5A,ng,tou
𩵼,U+29D7C,ne,jau
𩶘,U+29D98,nt,lap;laap
𩶛,U+29D9B,nr,gaa
𩷶,U+29DF6,nv,mong
𩸆,U+29E06,nu,jip
𩸭,U+29E2D,nk,leoi
𩹨,U+29E68,ne,dyun
𩺬,U+29EAC,nr,zeoi
𩺰,U+29EB0,nf,jyu;ng;m
𩻃,U+29EC3,nf,sung
𩻸,U+29EF8,ne,dai
𩼣,U+29F23,nb,gwo;go
𩼰,U+29F30,np,ci
𩾷,U+29FB7,if,gwo;go
𩿞,U+29FDE,hf,zaa;pat
𪀔,U+2A014,hi,si
𪂇,U+2A087,af,coeng
𪂹,U+2A0B9,qf,ceon
𪃡,U+2A0E1,ef,hung
𪃭,U+2A0ED,jf,haak
𪃳,U+2A0F3,tf,jing
𪃸,U+2A0F8,pf,jip
𪃾,U+2A0FE,jf,jung
𪄇,U+2A107,cf,fu
𪄣,U+2A123,ef,huk
𪄳,U+2A133,jf,mak
𪄴,U+2A134,of,faan;man
𪅐,U+2A150,tf,mok
𪆒,U+2A192,mf,ngaan;aan
𪆓,U+2A193,vf,si
𪆫,U+2A1AB,hd,keoi
𪆴,U+2A1B4,tf,kwai
𪆵,U+2A1B5,ef,cik
𪇟,U+2A1DF,gf,juk
𪇵,U+2A1F5,if,gwong;gong
𪈠,U+2A220,if,jing
𪈳,U+2A233,hp,lei
𪊓,U+2A293,ik,leon
𪊟,U+2A29F,im,sang
𪊲,U+2A2B2,ir,leon
𪊴,U+2A2B4,ie,syun
𪊶,U+2A2B6,ig,ting
𪊺,U+2A2BA,ir,leon
𪊽,U+2A2BD,id,gwan
𪋟,U+2A2DF,ij,zoeng
𪋿,U+2A2FF,jy,buk
𪍑,U+2A351,jw,ciu
𪎩,U+2A3A9,ir,waa
𪏭,U+2A3ED,he,lai
𪐴,U+2A434,wg,zyu
𪑛,U+2A45B,uk,mei
𪗆,U+2A5C6,ix,cai
𪗋,U+2A5CB,yv,zi
𪘁,U+2A601,yr,kap
𪘲,U+2A632,ym,ji;ngaai;aai
𪙊,U+2A64A,yc,jim
𪙛,U+2A65B,yr,nak;lak
𪚩,U+2A6A9,ru,gwi
𪷿,U+2ADFF,ec,wing
𫬷,U+2BB37,rr,ke
𭉝,U+2D25D,rd,syu
勇,U+2F825,ns,jung
吆,U+2F83B,ri,jiu
咢,U+2F840,rs,ngok;ok
屮,U+2F878,ul,cit
弢,U+2F894,ne,tou
慈,U+2F8A6,tp,ci
晉,U+2F8CD,ma,zeon
芳,U+2F994,us,fong
蜨,U+2F9BC,lo,sip
貫,U+2F9D4,wc,gun;gwun
